ZipCode,City,County,State,CountyFIPS,StateFIPS,TimeZone,DayLightSavings,ZipLatitude,ZipLongitude
10917,CENTRAL VALLEY,ORANGE,NY,071,36,-5,Y,41.329756,-74.113002
10918,CHESTER,ORANGE,NY,071,36,-5,Y,41.350239,-74.257830
10919,CIRCLEVILLE,ORANGE,NY,071,36,-5,Y,41.522124,-74.378814
10920,CONGERS,ROCKLAND,NY,087,36,-5,Y,41.158096,-73.927522
10921,FLORIDA,ORANGE,NY,071,36,-5,Y,41.316278,-74.363374
10922,FORT MONTGOMERY,ORANGE,NY,071,36,-5,Y,41.333500,-73.994200
10923,GARNERVILLE,ROCKLAND,NY,087,36,-5,Y,41.204355,-74.003126
10924,GOSHEN,ORANGE,NY,071,36,-5,Y,41.378100,-74.361864
10925,GREENWOOD LAKE,ORANGE,NY,071,36,-5,Y,41.208099,-74.305281
10926,HARRIMAN,ORANGE,NY,071,36,-5,Y,41.301468,-74.149366
10927,HAVERSTRAW,ROCKLAND,NY,087,36,-5,Y,41.192618,-73.955922
10928,HIGHLAND FALLS,ORANGE,NY,071,36,-5,Y,41.324558,-74.048504
10930,HIGHLAND MILLS,ORANGE,NY,071,36,-5,Y,41.363170,-74.096741
10931,HILLBURN,ROCKLAND,NY,087,36,-5,Y,41.124708,-74.169848
10932,HOWELLS,ORANGE,NY,071,36,-5,Y,41.479700,-74.465900
10933,JOHNSON,ORANGE,NY,071,36,-5,Y,41.366300,-74.506700
10940,MIDDLETOWN,ORANGE,NY,071,36,-5,Y,41.459264,-74.479348
10941,MIDDLETOWN,ORANGE,NY,071,36,-5,Y,41.488816,-74.349874
10949,MONROE,ORANGE,NY,071,36,-5,Y,41.330000,-74.190000
10950,MONROE,ORANGE,NY,071,36,-5,Y,41.318388,-74.206344
10952,MONSEY,ROCKLAND,NY,087,36,-5,Y,41.117866,-74.082053
10953,MOUNTAINVILLE,ORANGE,NY,071,36,-5,Y,41.400900,-74.078900
10954,NANUET,ROCKLAND,NY,087,36,-5,Y,41.095640,-74.011084
10956,NEW CITY,ROCKLAND,NY,087,36,-5,Y,41.155532,-73.990751
10958,NEW HAMPTON,ORANGE,NY,071,36,-5,Y,41.373452,-74.431849
10959,NEW MILFORD,ORANGE,NY,071,36,-5,Y,41.234500,-74.414400
10960,NYACK,ROCKLAND,NY,087,36,-5,Y,41.085586,-73.918246
10962,ORANGEBURG,ROCKLAND,NY,087,36,-5,Y,41.052440,-73.962378
10963,OTISVILLE,ORANGE,NY,071,36,-5,Y,41.464513,-74.540130
10964,PALISADES,ROCKLAND,NY,087,36,-5,Y,41.011761,-73.920514
10965,PEARL RIVER,ROCKLAND,NY,087,36,-5,Y,41.061656,-74.012633
10968,PIERMONT,ROCKLAND,NY,087,36,-5,Y,41.040922,-73.912591
10969,PINE ISLAND,ORANGE,NY,071,36,-5,Y,41.290634,-74.487788
10970,POMONA,ROCKLAND,NY,087,36,-5,Y,41.191419,-74.083108
10973,SLATE HILL,ORANGE,NY,071,36,-5,Y,41.385220,-74.474467
10974,SLOATSBURG,ROCKLAND,NY,087,36,-5,Y,41.159623,-74.153875
10975,SOUTHFIELDS,ORANGE,NY,071,36,-5,Y,41.237702,-74.132766
10976,SPARKILL,ROCKLAND,NY,087,36,-5,Y,41.021196,-73.912273
10977,SPRING VALLEY,ROCKLAND,NY,087,36,-5,Y,41.115562,-74.047621
10979,STERLING FOREST,ORANGE,NY,071,36,-5,Y,41.182800,-74.319200
10980,STONY POINT,ROCKLAND,NY,087,36,-5,Y,41.247299,-74.036032
